word,kana,meaning,example,exampleKana,exampleMeaning,level
ずつ,ずつ,"...씩, 같은 분량만큼 되풀이함",毎月１０万円ずつ入る,まいつき１０まんめんずつはいる,매달 10만 원씩 들어온다.,N5
会う,あう,"만나다, 대면하다, 조우하다",友達に会う,ともだちにあう,친구와 만나다.,N5
青い,あおい,"파랗다, 푸르다, 창백하다",青い空がとってもきれいだ,あおいそらがとってもきれいだ,파란 하늘이 무척 예쁘다.,N5
赤い,あかい,"빨갛다, 붉다, 홍연하다",彼の顔が赤い,かれのかおがあかい,그 사람의 얼굴이 빨갛다.,N5
明るい,あかるい,"밝다, 빛나다, 밝은 색이다",部屋が明るい,へんがあかるい,방이 밝다.,N5
上がる,あがる,"올라가다, 상승하다",腕が上がる,うでがあがる,솜씨가(기량이) 늘다.,N5
秋,あき,"가을",秋は涼しいです,あきはすずしいです,가을은 시원합니다.,N5
開く,あく,"열리다",幕が開く,まくがあく,막이 열리다.,N5
開ける,あける,"열다",窓を開ける,まどをあける,창문을 열다.,N5
上げる,あげる,"올리다",本を棚に上げる,ほんをたなにあげる,책을 선반 위에 올리다.,N5
